Drug Name,Drug Class,Hint 1 (Contraindications),Hint 2 (Adverse effects),Hint 3 (What symptom(s) and disease(s) drug is used to treat),"Hint 4 (what is the effect of this drug? (NOT MOA, but physical impact))",Hint 5 (what makes this drug unique from others in its class?),Hint 6 (MOA)
Warfarin,Vitamin K Antagonists,This drug is contraindicated in pregnancy and active major bleeding.,"It can cause bleeding, skin necrosis, and many food or drug interactions.","It is used for long-term anticoagulation in atrial fibrillation, venous thromboembolism, and mechanical valves.",It slows clot formation but takes several days to reach full effect.,It requires INR monitoring and is reversed with vitamin K or clotting factors.,"Inhibits vitamin K epoxide reductase, decreasing activation of factors II, VII, IX, and X and proteins C and S."
Unfractionated Heparin,Heparins,This drug should be avoided in active bleeding and prior heparin-induced thrombocytopenia.,"It can cause bleeding, thrombocytopenia, and osteoporosis with long use.","It is used for acute anticoagulation in thrombosis, acute coronary syndromes, and procedures.",It works quickly and can be turned off quickly.,It is monitored with aPTT and reversed with protamine sulfate.,"Activates antithrombin, which inactivates thrombin and factor Xa."
Enoxaparin (LMWH),Heparins,This drug should be used carefully in severe kidney impairment and avoided in prior HIT when possible.,It can cause bleeding and thrombocytopenia.,It is used for venous thromboembolism prevention and treatment and acute coronary syndromes.,It provides predictable anticoagulation with subcutaneous dosing.,It mainly affects factor Xa and usually does not require routine aPTT monitoring.,"Activates antithrombin, preferentially inactivating factor Xa over thrombin."
Argatroban,Parenteral Direct Thrombin Inhibitors,This drug should be used carefully in hepatic impairment and active bleeding.,It can cause bleeding and elevated coagulation test values.,It is used for anticoagulation in heparin-induced thrombocytopenia.,It prevents clot growth without using heparin.,"It is hepatically cleared, making it useful in kidney failure.",Directly inhibits thrombin.
Bivalirudin,Parenteral Direct Thrombin Inhibitors,This drug should be used carefully in active bleeding and dose-adjusted in kidney impairment.,It can cause bleeding and anemia.,It is used during percutaneous coronary intervention and in some patients with heparin-induced thrombocytopenia.,It provides short-acting anticoagulation during procedures.,It is a hirudin analog with a short half-life.,Directly inhibits thrombin.
Dabigatran,Direct Oral Anticoagulants (DOACs),This drug should be avoided in mechanical heart valves and severe kidney impairment.,It can cause bleeding and dyspepsia.,It is used for stroke prevention in nonvalvular atrial fibrillation and for venous thromboembolism treatment.,It prevents fibrin clot formation.,It is the oral direct thrombin inhibitor reversed by idarucizumab.,Directly inhibits thrombin.
Rivaroxaban,Direct Oral Anticoagulants (DOACs),This drug should be avoided in active bleeding and used carefully in kidney or liver disease.,It can cause bleeding and anemia.,It is used for stroke prevention in atrial fibrillation and treatment or prevention of venous thromboembolism.,It reduces clot formation without routine INR monitoring.,It is an oral factor Xa inhibitor often taken once daily for many indications.,Directly inhibits factor Xa.
Apixaban,Direct Oral Anticoagulants (DOACs),This drug should be avoided in active bleeding and used carefully with strong CYP3A4 or P-gp interactions.,It can cause bleeding and anemia.,It is used for atrial fibrillation stroke prevention and venous thromboembolism treatment or prevention.,It reduces clot formation without routine INR monitoring.,It has relatively less kidney clearance than some other oral factor Xa inhibitors.,Directly inhibits factor Xa.
Aspirin,Cyclooxygenase Inhibitors,This drug should be avoided in children with viral illness and in active major bleeding.,"It can cause GI bleeding, tinnitus, and bronchospasm in sensitive patients.","It is used for pain, fever, inflammation, and prevention of arterial thrombosis.",It reduces platelet aggregation and can lower fever and pain.,Its antiplatelet effect lasts for the life of the platelet.,"Irreversibly inhibits COX-1 and COX-2, decreasing thromboxane A2 and prostaglandin synthesis."
Clopidogrel,P2Y12 Inhibitors,Avoid this drug in patients with active major bleeding such as a bleeding ulcer or brain bleed.,"It can cause bleeding, bruising, rash, and rarely thrombotic thrombocytopenic purpura.","It is used to prevent clots after acute coronary syndrome, stroke, peripheral artery disease, or stent placement.",It makes platelets less sticky and lowers the chance that an arterial clot will form.,"It is a prodrug, so some patients respond poorly if CYP2C19 activation is weak.",It irreversibly blocks the platelet P2Y12 ADP receptor and prevents ADP-driven platelet activation.
Ticagrelor,P2Y12 Inhibitors,Avoid this drug in patients with active bleeding or a history of intracranial bleeding.,It can cause bleeding and shortness of breath.,It is used to prevent coronary clotting after acute coronary syndrome or stent placement.,It quickly reduces platelet clumping and lowers the risk of recurrent heart attack.,It does not need metabolic activation and binds platelets reversibly.,It reversibly blocks the platelet P2Y12 ADP receptor and prevents ADP-mediated platelet activation.
Abciximab,GPIIb/IIIa Inhibitors,"Avoid this drug in patients with active bleeding, recent stroke, or severe uncontrolled hypertension.",It can cause major bleeding and thrombocytopenia.,It is used during high-risk coronary procedures to prevent platelet-rich clots.,It powerfully prevents final platelet aggregation during acute coronary interventions.,It is an antibody fragment with a long platelet effect even after the infusion stops.,It blocks platelet GPIIb/IIIa receptors and prevents fibrinogen from cross-linking platelets.
Eptifibatide,GPIIb/IIIa Inhibitors,Avoid this drug in patients with active bleeding or severe kidney failure without dose adjustment.,It can cause bleeding and low platelet counts.,It is used in acute coronary syndrome and during percutaneous coronary intervention.,It rapidly reduces platelet aggregation in the coronary arteries.,It is a short-acting peptide that is cleared mainly by the kidneys.,It blocks platelet GPIIb/IIIa receptors and prevents fibrinogen-mediated platelet cross-linking.
Tirofiban,GPIIb/IIIa Inhibitors,Avoid this drug in patients with active internal bleeding or severe thrombocytopenia.,"It can cause bleeding, thrombocytopenia, and access-site hematomas.",It is used in acute coronary syndrome and during coronary catheter procedures.,It decreases platelet aggregation quickly during high-risk coronary clotting states.,It is a small nonpeptide molecule with a short half-life.,It blocks platelet GPIIb/IIIa receptors and prevents fibrinogen from binding platelets together.
Cilostazol,Phosphodiesterase Inhibitors,Avoid this drug in patients with heart failure.,"It can cause headache, diarrhea, palpitations, and dizziness.",It is used to improve walking distance in intermittent claudication.,It improves blood flow to the legs and reduces platelet clumping.,It is especially associated with treatment of peripheral artery disease symptoms.,"It inhibits phosphodiesterase 3, increasing cAMP in platelets and vascular smooth muscle."
Dipyridamole,Phosphodiesterase Inhibitors,Avoid this drug in unstable angina or severe coronary artery disease when vasodilation could worsen ischemia.,"It can cause headache, flushing, dizziness, and low blood pressure.",It is used with aspirin for stroke prevention and with stress testing to mimic exercise.,It dilates vessels and reduces platelet activation.,It can produce coronary steal during pharmacologic stress testing.,"It inhibits phosphodiesterase and adenosine uptake, increasing cAMP and adenosine signaling."
Cyclophosphamide,Alkylating Agents,Avoid this drug in patients with severe bone marrow suppression or active uncontrolled infection.,"It can cause hemorrhagic cystitis, myelosuppression, infertility, and secondary cancers.",It is used for cancers and severe autoimmune diseases such as lupus nephritis.,It kills rapidly dividing cells and strongly suppresses immune activity.,It is linked to bladder toxicity that can be reduced with mesna and hydration.,It alkylates DNA after activation and cross-links DNA strands to block replication.
Mechlorethamine,Alkylating Agents,Avoid this drug in patients with severe bone marrow suppression or active serious infection.,"It can cause severe myelosuppression, nausea, vomiting, and tissue injury if it leaks from the vein.",It has been used in Hodgkin lymphoma and some topical treatments for cutaneous T-cell lymphoma.,It damages rapidly dividing cancer cells and suppresses bone marrow activity.,It is one of the classic nitrogen mustard chemotherapy drugs.,It alkylates DNA and forms cross-links that prevent DNA replication and transcription.
Doxorubicin,Antitumor Antibiotics,Use extra caution or avoid this drug in patients with significant heart failure or prior high anthracycline exposure.,"It can cause dilated cardiomyopathy, myelosuppression, mucositis, and red-orange urine.","It is used for leukemias, lymphomas, sarcomas, and breast cancer.",It kills cancer cells but can also weaken heart muscle over time.,Its heart toxicity can be reduced with dexrazoxane.,"It intercalates DNA, inhibits topoisomerase II, and generates free radicals."
